id,review_text,source,product_category,rating,label
9,"Price anusar ekdam thik xa, anc chai ramro raina raxa baki sound quality ekdam ramro xa",daraz.com.np,Electronics,5.0,product_feedback
11,"good product , timely delivered",daraz.com.np,Electronics,5.0,delivery
12,quality is very good it's a right choice to buy this product according to money! ??,daraz.com.np,Electronics,5.0,product_feedback
13,"Beautiful colors. Got exactly what i ordered. Impressive battery life and exceptional build quality. The hinge is a little weak but since the case is only for charging, it is not a big problem. The most impressive design is the tapping spots on the side of the earbud which is textured to find more easily and be more responsive. The sound is crisp and clear. Overall an extremely well-made product",daraz.com.np,Electronics,5.0,product_feedback
14,wow its extremly good better then though and so suitable price prefear to buy everybody,daraz.com.np,Electronics,5.0,product_feedback
15,nice product packing garne tarika dherai ramro lagyo and delivery ni xitai vayo if koi ninne sochma hunu hunxa vane kinda hunxa hai price anusar product ramrai xa ??,daraz.com.np,Electronics,4.0,delivery
16,Go for it over all nice one.. Well packed,daraz.com.np,Electronics,4.0,delivery
17,I got it in 2 days. very satisfied with the product,daraz.com.np,Electronics,4.0,delivery
18,"wonderful packaging, volume control is wonderful and bass is surprisingly strong, box feels kind of cheap and hollow, but the sound quality is what matters. It's great for music listeners and casual gamers. Lack of app is somewhat troublesome, rest is great. Great Value for Money. Hope the quality doesn't degrades after some use.",daraz.com.np,Electronics,4.0,product_feedback
19,"its ok with this price, the sound is moderate. service is fast and everything is fine.",daraz.com.np,Electronics,4.0,delivery
20,"maile ta sab ko review herera magako, padkaunema ramrari packing gareko raicha khusi lagyo dhanyabad/",daraz.com.np,Electronics,4.0,delivery
21,product got well packed let's see how it goes,daraz.com.np,Electronics,4.0,delivery
22,safely arrived and sound quality is good at this price.,daraz.com.np,Electronics,4.0,delivery
23,"It is good, service also good",daraz.com.np,Electronics,4.0,customer_service
24,saman ramro aaipugeko xa yo mero 5 ptak ko order thyo yo pani socheko jastoi xa battery,daraz.com.np,Electronics,4.0,delivery
25,I have received the product and it was fast and also good ?? it working really well I love this ear buds,daraz.com.np,Electronics,4.0,delivery
26,"First of all, the packaging was so good and the product was delivered within 2 days. I feel this good but the left bud doesn't work the same as the right one. The sound on the left bud is slightly lower than the right one. But I will say this is good.",daraz.com.np,Electronics,4.0,delivery
27,Price 879 and delivery free but after buying it cost 952 i am socked,daraz.com.np,Electronics,4.0,customer_service
28,good earbuds but delivery not time,daraz.com.np,Electronics,3.0,delivery
29,"oh my god the delivery took so much time, but the quality of the product is good and also I've been using for some time the sound is unexpectedly good, I recommend anyone if they want to buy it.",daraz.com.np,Electronics,3.0,delivery
30,Product thikai ho tara delivery testo ni hunxa ?? Bato nai xaina jasto garera bolaune tya vanda uta jadaina rey ??complain garda ni kei farak pardaina vanney?? Product ta thikai ho,daraz.com.np,Electronics,3.0,delivery
31,The airpods is very good in sound and performance But delivery is late,daraz.com.np,Electronics,3.0,delivery
32,"You are getting this product in cheaper price so, don't expect higher features, Price is average and product also average. Anyway you can buy it for kaamchalau , & Packaging was perfect as well as the time of delivery was also awesome. overall Average.",daraz.com.np,Electronics,3.0,delivery
33,suruma open Garda right earbud le Kam nai gareko thiyena pheri garyo aba herum kasto hunchha 6 month warranty chha,daraz.com.np,Electronics,3.0,customer_service
34,I think the worst purchase I ever made in daraz. there is crackling sounds and it keeps disconnecting by itself randomly in like every 5 mins. I tried to reach out to them but they are not even responding,daraz.com.np,Electronics,1.0,customer_service
35,this bluetooth was not connected with mobile and not bling the light dual side earbirds i want to refund otherwise you have to exchange this thank you,daraz.com.np,Electronics,1.0,customer_service
36,Name nii dekhaudaina ta connect ta tadai k garne aba,daraz.com.np,Electronics,1.0,customer_service
37,warranty card banayai ko xaena purchase date pani lekhai ko xaen.,daraz.com.np,Electronics,2.0,customer_service
38,Seeing review I purchased this product Tara battery full charge garera rakhda ni automatically drain huni ani 30% bata direct 20 %. So I do really want to return this .,daraz.com.np,Electronics,1.0,customer_service
39,this is good but I guess you should buy according to your ear size because it causes problems in long term pain. and don't even how it's warranty work's,daraz.com.np,Electronics,2.0,customer_service
40,"Maile yo buds kineko 1 mahina mai esko connectivity issue ayo, without any physical damage. Ani maile Greenlife ko customer service ma message gare tesma ni ekdum late response ayo ani seller le 6 months warranty vanya xa but buds ma aauna sakne mostly problem haru warranty ma jo pardaina raixa. Na buds ko cover nai available xa. Sab sell garna ko lagi marketing gimmick raixa",daraz.com.np,Electronics,1.0,customer_service
41,mero euta buds bigreko ayo exchange garnu paro????????????,daraz.com.np,Electronics,2.0,customer_service
42,left side ko ma sound nai ayena k garnu parxa? Return gardinxu ma ta,daraz.com.np,Electronics,2.0,customer_service
43,ear bud is not charging ...how do i return it,daraz.com.np,Electronics,2.0,customer_service
44,last slow delivery from seller to pickpoint.,daraz.com.np,Electronics,1.0,delivery
45,"defect parexa Mero, yo light off nei hunna, always on k always. off garna ni milni Haina refund chaiyo ki arko leraidinu. yo light off na vayera charge ni kati xito sakinxa.",daraz.com.np,Electronics,2.0,customer_service
46,sir only 1 earbud is working i have charged but also not working plzzz exchange,daraz.com.np,Electronics,1.0,customer_service
47,euta earbuds ta chaldaina chalena bigreko pathaunu vako raixa ahile samma yesto saman pareko theana daraz bata magauda first time bigreko parexa . I want to exchange this,daraz.com.np,Electronics,1.0,customer_service
48,yesto koryeko use garyeko pathako first ko left side ko chalyena Ani refund gardinu vanyeko Lina aauney Manche aayena pachi time sakkyo vanyera yesto pathako ??,daraz.com.np,Electronics,1.0,customer_service
49,"sir mero charge garda euta matra batti balcha arko baldaina, right side ma matra sound aaucha",daraz.com.np,Electronics,1.0,product_feedback
50,I got it but only one is working how can I change it ?,daraz.com.np,Electronics,1.0,customer_service
51,it's hurting my ears after using it for more than 20 minutes after 2 weeks of buying it..please improve the silicon buds ??,daraz.com.np,Electronics,2.0,product_feedback
52,Product was working fine and from today I can hear white noise from right bud. No drop no damage I dont know why but I am very disappointed with it. I want replacement of this please.,daraz.com.np,Electronics,1.0,customer_service
53,I order in brown and white but got same two black,daraz.com.np,Electronics,1.0,delivery
54,literally one of the earpods stopped working after 2 weeks. worst experience plus never buying again from daraz . UNINSTALLED.,daraz.com.np,Electronics,1.0,product_feedback
55,"the product is good. i like its design, and i also like its comfort and sound, but it is not charging well it doesn't take charge",daraz.com.np,Electronics,2.0,product_feedback
56,order gare jastai saman chha Ani sound quality pañi ekdam ramro chha thanks daraz.,daraz.com.np,Electronics,1.0,product_feedback
57,Pailo kura right side ko connect huna ekdam time linxa 2nd kura charge nai hunna connect issues xa worst product dont buy this!!,daraz.com.np,Electronics,1.0,product_feedback
58,charge nai tikdainw xya kasto na ramro ho kosai lw nw kinnu hola maile yea sujav dinxu??,daraz.com.np,Electronics,1.0,product_feedback
59,charge nai vako xaina. i want to exchange,daraz.com.np,Electronics,1.0,customer_service
60,kaam xoina koi nakinnu hola 16 din mai bigryoo khattam ????????,daraz.com.np,Electronics,1.0,customer_service
61,edited after 3 days. last cracking huncha range ne last thori. na kinu hola please,daraz.com.np,Electronics,1.0,product_feedback
62,"price anusar ko saman dherai ramro xa. good product, good quality and fast delivery. Thanks seller.",daraz.com.np,Electronics,1.0,delivery
63,"The earbuds are not sterio. If you wanted Sterio, this earbuds are not for you . Sound quality is fine . Battery backup is fine . For 1k we can find much better wireless earbuds . Same this earbuds are being sold for around 800 in daraz with brand name and logo changed. 0 stars for seller , no reply , reactions. They just don't care about customer . I bet they will be losing more customer in future because they didn't reply and listen to customers grievances .??",daraz.com.np,Electronics,1.0,customer_service
64,mic in this earpods is not working properly . so i want to exchange it,daraz.com.np,Electronics,1.0,customer_service
65,"the earbuds are bad, the right piece of earbuds isn't charging at all. I suggest going for other alternatives for a slightly high price.",daraz.com.np,Electronics,1.0,product_feedback
66,bela bela ma disconnect vairakhxa charge pni tikdaina,daraz.com.np,Electronics,1.0,product_feedback
67,"Mic is not good for these earbuds, and when volume is turned up and down, the sound stops, not for gaming delayed sound, and I don't recommend others to buy these earbuds.",daraz.com.np,Electronics,1.0,product_feedback
