id,review_text,source,product_category,rating,label,clean_text,label_encoded
1,saama thikai x 2 ota magayeko euta ma problem raixa....euta ramro x.,daraz.com.np,Electronics,5.0,product_feedback,saama thikai ota magayeko euta problem raixa euta ramro,2
2,Thikai xa price aanusar ko lìa hunxa,daraz.com.np,Electronics,5.0,product_feedback,thikai price aanusar,2
3,"nice quality,bass good,I like it time in delivery",daraz.com.np,Electronics,5.0,delivery,nice quality bass good like time delivery,1
4,"Is the third week today since I bought it and its doing great The battery life is way too good Takes about an hour I charged it on day of delivery and didnt need to charge again for a week Has nice bass Very good price range for its quality If youre looking for a budget, friendly and good sound its a must buy",daraz.com.np,Electronics,5.0,product_feedback,third week today since bought great battery life way too good takes hour charged day delivery didn need charge again week nice bass very good price range quality re looking budget friendly good sound must buy,2
5,arrived in good condition. i like the way you give extra instruction to remove the plastic cover as it was blocking the bud from charging . the sound quality is also good . satisfied with the product,daraz.com.np,Electronics,5.0,product_feedback,arrived good condition like way give extra instruction remove plastic cover blocking bud charging sound quality also good satisfied product,2
6,great packaging. time on delivery good colour,daraz.com.np,Electronics,5.0,delivery,great packaging time delivery good colour,1
7,Ramroo nei xaaa sound ni clear aauxa affordable pani ramro panii,daraz.com.np,Electronics,5.0,product_feedback,ramroo nei xaaa sound clear aauxa affordable ramro panii,2
8,"I receive Green Airbeat -520 Mic ENC , it's Best Product thank you Daraz for your quick deliver. thank you",daraz.com.np,Electronics,5.0,delivery,receive green airbeat mic enc best product thank daraz quick deliver thank,1
9,"Price anusar ekdam thik xa, anc chai ramro raina raxa baki sound quality ekdam ramro xa",daraz.com.np,Electronics,5.0,product_feedback,price anusar ekdam thik anc chai ramro raina raxa baki sound quality ekdam ramro,2
11,"good product , timely delivered",daraz.com.np,Electronics,5.0,delivery,good product timely delivered,1
12,quality is very good it's a right choice to buy this product according to money! ??,daraz.com.np,Electronics,5.0,product_feedback,quality very good right choice buy product according money,2
13,"Beautiful colors. Got exactly what i ordered. Impressive battery life and exceptional build quality. The hinge is a little weak but since the case is only for charging, it is not a big problem. The most impressive design is the tapping spots on the side of the earbud which is textured to find more easily and be more responsive. The sound is crisp and clear. Overall an extremely well-made product",daraz.com.np,Electronics,5.0,product_feedback,beautiful colors got exactly ordered impressive battery life exceptional build quality hinge little weak since case charging not big problem impressive design tapping spots side earbud textured find more easily more responsive sound crisp clear overall extremely well made product,2
14,wow its extremly good better then though and so suitable price prefear to buy everybody,daraz.com.np,Electronics,5.0,product_feedback,wow extremly good better though suitable price prefear buy everybody,2
15,nice product packing garne tarika dherai ramro lagyo and delivery ni xitai vayo if koi ninne sochma hunu hunxa vane kinda hunxa hai price anusar product ramrai xa ??,daraz.com.np,Electronics,4.0,delivery,nice product packing tarika dherai ramro lagyo delivery xitai koi ninne sochma hunu vane kinda price anusar product ramrai,1
16,Go for it over all nice one.. Well packed,daraz.com.np,Electronics,4.0,delivery,go nice one well packed,1
17,I got it in 2 days. very satisfied with the product,daraz.com.np,Electronics,4.0,delivery,got days very satisfied product,1
18,"wonderful packaging, volume control is wonderful and bass is surprisingly strong, box feels kind of cheap and hollow, but the sound quality is what matters. It's great for music listeners and casual gamers. Lack of app is somewhat troublesome, rest is great. Great Value for Money. Hope the quality doesn't degrades after some use.",daraz.com.np,Electronics,4.0,product_feedback,wonderful packaging volume control wonderful bass surprisingly strong box feels kind cheap hollow sound quality matters great music listeners casual gamers lack app somewhat troublesome rest great great value money hope quality doesn degrades some use,2
19,"its ok with this price, the sound is moderate. service is fast and everything is fine.",daraz.com.np,Electronics,4.0,delivery,ok price sound moderate service fast everything fine,1
20,"maile ta sab ko review herera magako, padkaunema ramrari packing gareko raicha khusi lagyo dhanyabad/",daraz.com.np,Electronics,4.0,delivery,maile sab review herera magako padkaunema ramrari packing raicha khusi lagyo dhanyabad,1
21,product got well packed let's see how it goes,daraz.com.np,Electronics,4.0,delivery,product got well packed let see goes,1
22,safely arrived and sound quality is good at this price.,daraz.com.np,Electronics,4.0,delivery,safely arrived sound quality good price,1
23,"It is good, service also good",daraz.com.np,Electronics,4.0,customer_service,good service also good,0
24,saman ramro aaipugeko xa yo mero 5 ptak ko order thyo yo pani socheko jastoi xa battery,daraz.com.np,Electronics,4.0,delivery,saman ramro aaipugeko mero ptak order socheko jastoi battery,1
25,I have received the product and it was fast and also good ?? it working really well I love this ear buds,daraz.com.np,Electronics,4.0,delivery,received product fast also good working really well love ear buds,1
26,"First of all, the packaging was so good and the product was delivered within 2 days. I feel this good but the left bud doesn't work the same as the right one. The sound on the left bud is slightly lower than the right one. But I will say this is good.",daraz.com.np,Electronics,4.0,delivery,first packaging good product delivered within days feel good left bud doesn work same right one sound left bud slightly lower than right one will say good,1
27,Price 879 and delivery free but after buying it cost 952 i am socked,daraz.com.np,Electronics,4.0,customer_service,price delivery free buying cost socked,0
28,good earbuds but delivery not time,daraz.com.np,Electronics,3.0,delivery,good earbuds delivery not time,1
29,"oh my god the delivery took so much time, but the quality of the product is good and also I've been using for some time the sound is unexpectedly good, I recommend anyone if they want to buy it.",daraz.com.np,Electronics,3.0,delivery,oh god delivery took much time quality product good also ve using some time sound unexpectedly good recommend anyone want buy,1
30,Product thikai ho tara delivery testo ni hunxa ?? Bato nai xaina jasto garera bolaune tya vanda uta jadaina rey ??complain garda ni kei farak pardaina vanney?? Product ta thikai ho,daraz.com.np,Electronics,3.0,delivery,product thikai delivery testo bato nai xaina jasto bolaune tya vanda jadaina rey complain garda kei farak pardaina vanney product thikai,1
31,The airpods is very good in sound and performance But delivery is late,daraz.com.np,Electronics,3.0,delivery,airpods very good sound performance delivery late,1
