id,review_text,source,product_category,rating,label
1,saama thikai x 2 ota magayeko euta ma problem raixa....euta ramro x.,daraz.com.np,Electronics,5.0,product_feedback
2,Thikai xa price aanusar ko lìa hunxa,daraz.com.np,Electronics,5.0,product_feedback
3,"nice quality,bass good,I like it time in delivery",daraz.com.np,Electronics,5.0,delivery
4,"Is the third week today since I bought it and its doing great The battery life is way too good Takes about an hour I charged it on day of delivery and didnt need to charge again for a week Has nice bass Very good price range for its quality If youre looking for a budget, friendly and good sound its a must buy",daraz.com.np,Electronics,5.0,product_feedback
5,arrived in good condition. i like the way you give extra instruction to remove the plastic cover as it was blocking the bud from charging . the sound quality is also good . satisfied with the product,daraz.com.np,Electronics,5.0,product_feedback
6,great packaging. time on delivery good colour,daraz.com.np,Electronics,5.0,delivery
7,Ramroo nei xaaa sound ni clear aauxa affordable pani ramro panii,daraz.com.np,Electronics,5.0,product_feedback
8,"I receive Green Airbeat -520 Mic ENC , it's Best Product thank you Daraz for your quick deliver. thank you",daraz.com.np,Electronics,5.0,delivery
9,"Price anusar ekdam thik xa, anc chai ramro raina raxa baki sound quality ekdam ramro xa",daraz.com.np,Electronics,5.0,product_feedback
11,"good product , timely delivered",daraz.com.np,Electronics,5.0,delivery
12,quality is very good it's a right choice to buy this product according to money! ??,daraz.com.np,Electronics,5.0,product_feedback
13,"Beautiful colors. Got exactly what i ordered. Impressive battery life and exceptional build quality. The hinge is a little weak but since the case is only for charging, it is not a big problem. The most impressive design is the tapping spots on the side of the earbud which is textured to find more easily and be more responsive. The sound is crisp and clear. Overall an extremely well-made product",daraz.com.np,Electronics,5.0,product_feedback
14,wow its extremly good better then though and so suitable price prefear to buy everybody,daraz.com.np,Electronics,5.0,product_feedback
15,nice product packing garne tarika dherai ramro lagyo and delivery ni xitai vayo if koi ninne sochma hunu hunxa vane kinda hunxa hai price anusar product ramrai xa ??,daraz.com.np,Electronics,4.0,delivery
16,Go for it over all nice one.. Well packed,daraz.com.np,Electronics,4.0,delivery
17,I got it in 2 days. very satisfied with the product,daraz.com.np,Electronics,4.0,delivery
18,"wonderful packaging, volume control is wonderful and bass is surprisingly strong, box feels kind of cheap and hollow, but the sound quality is what matters. It's great for music listeners and casual gamers. Lack of app is somewhat troublesome, rest is great. Great Value for Money. Hope the quality doesn't degrades after some use.",daraz.com.np,Electronics,4.0,product_feedback
19,"its ok with this price, the sound is moderate. service is fast and everything is fine.",daraz.com.np,Electronics,4.0,delivery
